title,cik_str,ticker
UNITED PARCEL SERVICE INC,0001090727,UPS
QUALCOMM INC/DE,0000804328,QCOM
NEXTERA ENERGY INC,0000753308,NEE
TEXAS INSTRUMENTS INC,0000097476,TXN
AT&T INC.,0000732717,T
ROYAL BANK OF CANADA,0001000275,RY
MORGAN STANLEY,0000895421,MS
RAYTHEON TECHNOLOGIES CORP,0000101829,RTX
UNION PACIFIC CORP,0000100885,UNP
AMGEN INC,0000318154,AMGN
TORONTO DOMINION BANK,0000947263,TD
HONEYWELL INTERNATIONAL INC,0000773840,HON
Sanofi,0001121404,SNY
HSBC HOLDINGS PLC,0001089113,HSBC
"Ascent Solar Technologies, Inc.",0001350102,ASTI
RIO TINTO LTD,0000887028,RTNTF
LOWES COMPANIES INC,0000060667,LOW
Medtronic plc,0001613103,MDT
AMERICAN EXPRESS CO,0000004962,AXP
INTERNATIONAL BUSINESS MACHINES CORP,0000051143,IBM
CATERPILLAR INC,0000018230,CAT
SCHWAB CHARLES CORP,0000316709,SCHW
CVS HEALTH Corp,0000064803,CVS
RIO TINTO PLC,0000863064,RIO
EQUINOR ASA,0001140625,EQNR
ADVANCED MICRO DEVICES INC,0000002488,AMD
LOCKHEED MARTIN CORP,0000936468,LMT
"Anthem, Inc.",0001156039,ANTM
"INVESCO QQQ TRUST, SERIES 1",0001067839,QQQ
AMERICAN TOWER CORP /MA/,0001053507,AMT
UNILEVER PLC,0000217410,UL
SAP SE,0001000184,SAP
INTUIT INC,0000896878,INTU
Sony Group Corp,0000313838,SONY
BP PLC,0000313807,BP
GSK PLC,0001131399,GSK
"JD.com, Inc.",0001549802,JD
DEERE & CO,0000315189,DE
HDFC BANK LTD,0001144967,HDB
DIAGEO PLC,0000835403,DEO
GOLDMAN SACHS GROUP INC,0000886982,GS
"PayPal Holdings, Inc.",0001633917,PYPL
CITIGROUP INC,0000831001,C
British American Tobacco p.l.c.,0001303523,BTI
BlackRock Inc.,0001364742,BLK
"ServiceNow, Inc.",0001373715,NOW
APPLIED MATERIALS INC /DE,0000006951,AMAT
CHINA LIFE INSURANCE CO LTD,0001268896,LFC
Anheuser-Busch InBev SA/NV,0001668717,BUD
ESTEE LAUDER COMPANIES INC,0001001250,EL
Booking Holdings Inc.,0001075531,BKNG
ENBRIDGE INC,0000895728,ENB
CannTrust Holdings Inc.,0001652499,CNTTQ
AUTOMATIC DATA PROCESSING INC,0000008670,ADP
"Prologis, Inc.",0001045609,PLD
"ALTRIA GROUP, INC.",0000764180,MO
Airbus SE/ADR,0001378580,EADSY
Chubb Ltd,0000896159,CB
PETROBRAS - PETROLEO BRASILEIRO SA,0001119639,PBR
NETFLIX INC,0001065280,NFLX
Glencore plc/ADR,0001524684,GLNCY
"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,CHTR
"Mondelez International, Inc.",0001103982,MDLZ
Vale S.A.,0000917851,VALE
ANALOG DEVICES INC,0000006281,ADI
Cigna Corp,0001739940,CI
STRYKER CORP,0000310764,SYK
EOG RESOURCES INC,0000821189,EOG
Duke Energy CORP,0001326160,DUK
GENERAL ELECTRIC CO,0000040545,GE
3M CO,0000066740,MMM
Blackstone Inc.,0001393818,BX
BOEING CO,0000012927,BA
BANK OF NOVA SCOTIA,0000009631,BNS
S&P Global Inc.,0000064040,SPGI
Infosys Ltd,0001067491,INFY
Pinduoduo Inc.,0001737806,PDD
CANADIAN NATIONAL RAILWAY CO,0000016868,CNI
Zoetis Inc.,0001555280,ZTS
CANADIAN NATURAL RESOURCES LTD,0001017413,CNQ
Industria de Diseno Textil Inditex SA / ADR,0001438656,IDEXY
CROWN CASTLE INTERNATIONAL CORP,0001051470,CCI
SOUTHERN CO,0000092122,SO
"MARSH & MCLENNAN COMPANIES, INC.",0000062709,MMC
BROOKFIELD ASSET MANAGEMENT INC.,0001001085,BAM
"Airbnb, Inc.",0001559720,ABNB
"GILEAD SCIENCES, INC.",0000882095,GILD
INTUITIVE SURGICAL INC,0001035267,ISRG
CHINA PETROLEUM & CHEMICAL CORP,0001123658,SNP
DAIMLER AG,0001067318,DMLRY
US BANCORP DE,0000036104,USB
MICRON TECHNOLOGY INC,0000723125,MU
TARGET CORP,0000027419,TGT
NORTHROP GRUMMAN CORP /DE/,0001133421,NOC
MITSUBISHI UFJ FINANCIAL GROUP INC,0000067088,MUFG
"NetEase, Inc.",0001110646,NTES
TJX COMPANIES INC /DE/,0000109198,TJX
SOFTBANK GROUP CORP,0001065521,SFTBY
BECTON DICKINSON & CO,0000010795,BDX
LAM RESEARCH CORP,0000707549,LRCX
"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,PNC
CME GROUP INC.,0001156375,CME
BANK OF MONTREAL /CAN/,0000927971,BMO
CSX CORP,0000277948,CSX
SHERWIN WILLIAMS CO,0000089800,SHW
PROGRESSIVE CORP/OH/,0000080661,PGR
VERTEX PHARMACEUTICALS INC / MA,0000875320,VRTX
SCHLUMBERGER LIMITED/NV,0000087347,SLB
Marathon Petroleum Corp,0001510295,MPC
PIONEER NATURAL RESOURCES CO,0001038357,PXD
CANADIAN PACIFIC RAILWAY LTD/CN,0000016875,CP
FISERV INC,0000798354,FISV
"DOMINION ENERGY, INC",0000715957,D
ICICI BANK LTD,0001103838,IBN
WASTE MANAGEMENT INC,0000823768,WM
COLGATE PALMOLIVE CO,0000021665,CL
TRUIST FINANCIAL CORP,0000092230,TFC
"REGENERON PHARMACEUTICALS, INC.",0000872589,REGN
ILLINOIS TOOL WORKS INC,0000049826,ITW
GENERAL DYNAMICS CORP,0000040533,GD
OCCIDENTAL PETROLEUM CORP /DE/,0000797468,OXY
AMERICA MOVIL SAB DE CV/,0001129137,AMOV
"HCA Healthcare, Inc.",0000860730,HCA
PT Bank Central Asia Tbk / ADR,0001463157,PBCRY
ENEL SOCIETA PER AZIONI,0001096200,ENLAY
"Fidelity National Information Services, Inc.",0001136893,FIS
FREEPORT-MCMORAN INC,0000831259,FCX
SUNCOR ENERGY INC,0000311337,SU
ENTERPRISE PRODUCTS PARTNERS L.P.,0001061219,EPD
UBS Group AG,0001610520,UBS
AMAZON COM INC,0001018724,AMZN
ABB LTD,0001091587,ABB
"Activision Blizzard, Inc.",0000718877,ATVI
DUPONT E I DE NEMOURS & CO,0000030554,CTA-PA
"Moderna, Inc.",0001682852,MRNA
EQUINIX INC,0001101239,EQIX
Edwards Lifesciences Corp,0001099800,EW
Aon plc,0000315293,AON
VALERO ENERGY CORP/TX,0001035002,VLO
HUMANA INC,0000049071,HUM
NORFOLK SOUTHERN CORP,0000702165,NSC
TC ENERGY CORP,0001232384,TRP
Eaton Corp plc,0001551182,ETN
FEDEX CORP,0001048911,FDX
"Intercontinental Exchange, Inc.",0001571949,ICE
METLIFE INC,0001099219,MET
MARRIOTT INTERNATIONAL INC /MD/,0001048286,MAR
"Air Products & Chemicals, Inc.",0000002969,APD
BOSTON SCIENTIFIC CORP,0000885725,BSX
Public Storage,0001393311,PSA
RECKITT BENCKISER GROUP PLC,0001420798,RBGLY
ENI SPA,0001002242,E
KLA CORP,0000319201,KLAC
General Motors Co,0001467858,GM
EMERSON ELECTRIC CO,0000032604,EMR
DOLLAR GENERAL CORP,0000029534,DG
"VMWARE, INC.",0001124610,VMW
FORD MOTOR CO,0000037996,F
"Baidu, Inc.",0001329099,BIDU
"Banco Santander, S.A.",0000891478,SAN
NEWMONT Corp /DE/,0001164727,NEM
RELX PLC,0000929869,RELX
CAPITAL ONE FINANCIAL CORP,0000927628,COF
MOODYS CORP /DE/,0001059556,MCO
DEVON ENERGY CORP/DE,0001090012,DVN
Palo Alto Networks Inc,0001327567,PANW
Keurig Dr Pepper Inc.,0001418135,KDP
SEMPRA ENERGY,0001032208,SRE
Atlassian Corp Plc,0001650372,TEAM
Nutrien Ltd.,0001725964,NTR
"Uber Technologies, Inc",0001543151,UBER
"Marvell Technology, Inc.",0001835632,MRVL
NATIONAL GRID PLC,0001004315,NGG
AMERICAN ELECTRIC POWER CO INC,0000004904,AEP
Itau Unibanco Holding S.A.,0001132597,ITUB
DOW INC.,0001751788,DOW
Archer-Daniels-Midland Co,0000007084,ADM
SYNOPSYS INC,0000883241,SNPS
Sea Ltd,0001703399,SE
CENOVUS ENERGY INC.,0001475260,CVE
BCE INC,0000718940,BCE
PERNOD RICARD S A /FI,0000899108,PRNDY
"Fortinet, Inc.",0001262039,FTNT
SHOPIFY INC.,0001594805,SHOP
SOUTHERN COPPER CORP/,0001001838,SCCO
Phillips 66,0001534701,PSX
THOMSON REUTERS CORP /CAN/,0001075124,TRI
Ferrari N.V.,0001648416,RACE
CENTENE CORP,0001071739,CNC
MCKESSON CORP,0000927653,MCK
"L3HARRIS TECHNOLOGIES, INC. /DE/",0000202058,LHX
"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,AIG
Banco Santander (Brasil) S.A.,0001471055,BSBR
Monster Beverage Corp,0000865752,MNST
ECOLAB INC.,0000031462,ECL
EXELON CORP,0001109357,EXC
NXP Semiconductors N.V.,0001413447,NXPI
Stellantis N.V.,0001605484,STLA
"CONSTELLATION BRANDS, INC.",0000016918,STZ
Kraft Heinz Co,0001637459,KHC
"WILLIAMS COMPANIES, INC.",0000107263,WMB
PAYCHEX INC,0000723531,PAYX
"Corteva, Inc.",0001755672,CTVA
"KINDER MORGAN, INC.",0001506307,KMI
SPDR GOLD TRUST,0001222333,GLD
"Autodesk, Inc.",0000769397,ADSK
CADENCE DESIGN SYSTEMS INC,0000813672,CDNS
ROPER TECHNOLOGIES INC,0000882835,ROP
KIMBERLY CLARK CORP,0000055785,KMB
AMBEV S.A.,0001565025,ABEV
SYSCO CORP,0000096021,SYY
HERSHEY CO,0000047111,HSY
"TRAVELERS COMPANIES, INC.",0000086312,TRV
HONDA MOTOR CO LTD,0000715153,HMC
AUTOZONE INC,0000866787,AZO
TE Connectivity Ltd.,0001385157,TEL
VODAFONE GROUP PUBLIC LTD CO,0000839923,VOD
TAKEDA PHARMACEUTICAL CO LTD,0001395064,TAK
IQVIA HOLDINGS INC.,0001478242,IQV
AMPHENOL CORP /DE/,0000820313,APH
O REILLY AUTOMOTIVE INC,0000898173,ORLY
ING GROEP NV,0001039765,ING
"REPUBLIC SERVICES, INC.",0001060391,RSG
MERCADOLIBRE INC,0001099590,MELI
GENERAL MILLS INC,0000040704,GIS
Snowflake Inc.,0001640147,SNOW
CINTAS CORP,0000723254,CTAS
HP INC,0000047217,HPQ
"CrowdStrike Holdings, Inc.",0001535527,CRWD
Lloyds Banking Group plc,0001160106,LYG
IMPERIAL OIL LTD,0000049938,IMO
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",0001022837,SMFG
HESS CORP,0000004447,HES
"Workday, Inc.",0001327811,WDAY
INFINEON TECHNOLOGIES AG,0001107457,IFNNY
lululemon athletica inc.,0001397187,LULU
PRUDENTIAL FINANCIAL INC,0001137774,PRU
XCEL ENERGY INC,0000072903,XEL
ELECTRONIC ARTS INC.,0000712515,EA
BioNTech SE,0001776985,BNTX
Hilton Worldwide Holdings Inc.,0001585689,HLT
"Block, Inc.",0001512673,SQ
Energy Transfer LP,0001276187,ET
COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,CTSH
AFLAC INC,0000004977,AFL
CHIPOTLE MEXICAN GRILL INC,0001058090,CMG
Johnson Controls International plc,0000833444,JCI
HALLIBURTON CO,0000045012,HAL
Dell Technologies Inc.,0001571996,DELL
"AGILENT TECHNOLOGIES, INC.",0001090872,A
BANK BRADESCO,0001160330,BBD
MICROCHIP TECHNOLOGY INC,0000827054,MCHP
REALTY INCOME CORP,0000726728,O
"DIGITAL REALTY TRUST, INC.",0001297996,DLR
KROGER CO,0000056873,KR
ALLSTATE CORP,0000899051,ALL
Bank of New York Mellon Corp,0001390777,BK
WELLTOWER INC.,0000766704,WELL
NUCOR CORP,0000073309,NUE
GLOBAL PAYMENTS INC,0001123360,GPN
BARRICK GOLD CORP,0000756894,GOLD
GROUPE DANONE,0001048515,DANOY
"Walgreens Boots Alliance, Inc.",0001618921,WBA
"Motorola Solutions, Inc.",0000068505,MSI
ALCON INC,0001167379,ALC
SBA COMMUNICATIONS CORP,0001034054,SBAC
LyondellBasell Industries N.V.,0001489393,LYB
"ILLUMINA, INC.",0001110803,ILMN
BAXTER INTERNATIONAL INC,0000010456,BAX
MANULIFE FINANCIAL CORP,0001086888,MFC
PARKER HANNIFIN CORP,0000076334,PH
PRUDENTIAL PLC,0001116578,PUK
"DOLLAR TREE, INC.",0000935703,DLTR
"Cheniere Energy, Inc.",0000003570,LNG
MSCI Inc.,0001408198,MSCI
BARCLAYS PLC,0000312069,BCS
STMicroelectronics N.V.,0000932787,STM
SIMON PROPERTY GROUP INC /DE/,0001063761,SPG
YUM BRANDS INC,0001041061,YUM
ECOPETROL S.A.,0001444406,EC
"DuPont de Nemours, Inc.",0001666700,DD
MPLX LP,0001552000,MPLX
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",0000842180,BBVA
"Zoom Video Communications, Inc.",0001585521,ZM
"Apollo Global Management, Inc.",0001858681,APO
CONSOLIDATED EDISON INC,0001047862,ED
ISHARES GOLD TRUST,0001278680,IAU
CARRIER GLOBAL Corp,0001783180,CARR
TransDigm Group INC,0001260221,TDG
"Waste Connections, Inc.",0001318220,WCN
PUBLIC SERVICE ENTERPRISE GROUP INC,0000788784,PEG
TELUS CORP,0000868675,TU
INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,IFF
"Datadog, Inc.",0001561550,DDOG
Arthur J. Gallagher & Co.,0000354190,AJG
CHUNGHWA TELECOM CO LTD,0001132924,CHT
Trane Technologies plc,0001466258,TT
NatWest Group plc,0000844150,NWG
WIPRO LTD,0001123799,WIT
Baker Hughes Co,0001701605,BKR
"WEC ENERGY GROUP, INC.",0000783325,WEC
BROWN FORMAN CORP,0000014693,BF-A
Otis Worldwide Corp,0001781335,OTIS
NIO Inc.,0001736541,NIO
Discover Financial Services,0001393612,DFS
"TWITTER, INC.",0001418091,TWTR
"Lucid Group, Inc.",0001811210,LCID
KKR & Co. Inc.,0001404912,KKR
"TYSON FOODS, INC.",0000100493,TSN
"Arista Networks, Inc.",0001596532,ANET
IDEXX LABORATORIES INC /DE,0000874716,IDXX
BAE SYSTEMS PLC /FI/,0000895564,BAESY
EVERSOURCE ENERGY,0000072741,ES
CRH PUBLIC LTD CO,0000849395,CRH
PACCAR INC,0000075362,PCAR
DnB NOR ASA,0001498632,DNBBY
COMPAGNIE DE SAINT GOBAIN,0001012037,CODYY
FASTENAL CO,0000815556,FAST
Li Auto Inc.,0001791706,LI
RESMED INC,0000943819,RMD
CUMMINS INC,0000026172,CMI
CORNING INC /NY,0000024741,GLW
ONEOK INC /NEW/,0001039684,OKE
AMERISOURCEBERGEN CORP,0001140859,ABC
AMERIPRISE FINANCIAL INC,0000820027,AMP
ORANGE,0001038143,ORAN
BIOGEN INC.,0000875045,BIIB
LafargeHolcim Ltd/ADR,0000948696,HCMLY
PPG INDUSTRIES INC,0000079879,PPG
New Oriental Education & Technology Group Inc.,0001372920,EDU
EBAY INC,0001065088,EBAY
METTLER TOLEDO INTERNATIONAL INC/,0001037646,MTD
Aptiv PLC,0001521332,APTV
RWE AG /FI,0000939380,RWEOY
ALBEMARLE CORP,0000915913,ALB
DEXCOM INC,0001093557,DXCM
VEEVA SYSTEMS INC,0001393052,VEEV
Experian Group LTD,0001376891,EXPGY
"OLD DOMINION FREIGHT LINE, INC.",0000878927,ODFL
SUN LIFE FINANCIAL INC,0001097362,SLF
GLOBALFOUNDRIES Inc.,0001709048,GFS
Coterra Energy Inc.,0000858470,CTRA
"Diamondback Energy, Inc.",0001539838,FANG
CaixaBank/ADR,0001535628,CAIXY
ArcelorMittal,0001243429,MT
WEYERHAEUSER CO,0000106535,WY
PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0001001807,TLK
"ROSS STORES, INC.",0000745732,ROST
TELEFONICA S A,0000814052,TEF
LAS VEGAS SANDS CORP,0001300514,LVS
SVB FINANCIAL GROUP,0000719739,SIVB
NOKIA CORP,0000924613,NOK
MIZUHO FINANCIAL GROUP INC,0001335730,MFG
PRICE T ROWE GROUP INC,0001113169,TROW
"Trade Desk, Inc.",0001671933,TTD
AMETEK INC/,0001037868,AME
CHEMICAL & MINING CO OF CHILE INC,0000909037,SQM
AVALONBAY COMMUNITIES INC,0000915912,AVB
"American Water Works Company, Inc.",0001410636,AWK
Longfor Group Holdings Limited/ADR,0001554394,LGFRY
EQUITY RESIDENTIAL,0000906107,EQR
Assicurazioni Generali S.p.A.,0001379235,ARZGY
ERICSSON LM TELEPHONE CO,0000717826,ERIC
"Enphase Energy, Inc.",0001463101,ENPH
FRANCO NEVADA Corp,0001456346,FNV
ON SEMICONDUCTOR CORP,0001097864,ON
"Verisk Analytics, Inc.",0001442145,VRSK
COPART INC,0000900075,CPRT
FIRST REPUBLIC BANK,0001132979,FRC
PG&E Corp,0001004980,PCG
SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,0001041130,DIA
"CONTINENTAL RESOURCES, INC",0000732834,CLR
FIFTH THIRD BANCORP,0000035527,FITB
"Keysight Technologies, Inc.",0001601046,KEYS
CANON INC,0000016988,CAJ
PT Bank Mandiri (Persero) Tbk / ADR,0001461748,PPERY
Seagen Inc.,0001060736,SGEN
Ferguson plc,0001832433,FERG
"Cheniere Energy Partners, L.P.",0001383650,CQP
"Rivian Automotive, Inc. / DE",0001874178,RIVN
VESTAS WIND SYSTEMS A/S,0001330306,VWDRY
EDISON INTERNATIONAL,0000827052,EIX
"CBRE GROUP, INC.",0001138118,CBRE
MEXICAN ECONOMIC DEVELOPMENT INC,0001061736,FMX
CK Hutchison Holdings Limited/ADR,0001637120,CKHUY
HORTON D R INC /DE/,0000882184,DHI
"NASDAQ, INC.",0001120193,NDAQ
"W.W. GRAINGER, INC.",0000277135,GWW
SOUTHWEST AIRLINES CO,0000092380,LUV
SPDR S&P MIDCAP 400 ETF TRUST,0000936958,MDY
DTE ENERGY CO,0000936340,DTE
ROGERS COMMUNICATIONS INC,0000733099,RCI
"DoorDash, Inc.",0001792789,DASH
STATE STREET CORP,0000093751,STT
CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,0001045520,CM
XPENG INC.,0001810997,XPEV
"ROCKWELL AUTOMATION, INC",0001024478,ROK
MARATHON OIL CORP,0000101778,MRO
COCA-COLA EUROPACIFIC PARTNERS plc,0001650107,CCEP
TESCO PLC /FI,0000885834,TSCDY
SIRIUS XM HOLDINGS INC.,0000908937,SIRI
"ZIMMER BIOMET HOLDINGS, INC.",0001136869,ZBH
HORMEL FOODS CORP /DE/,0000048465,HRL
GREAT-WEST LIFECO INC.,0000850918,GWLIF
Porsche Automobil Holding SE / ADR,0001450346,POAHY
"Interactive Brokers Group, Inc.",0001381197,IBKR
"DELTA AIR LINES, INC.",0000027904,DAL
"HARTFORD FINANCIAL SERVICES GROUP, INC.",0000874766,HIG
Snap Inc,0001564408,SNAP
"COSTAR GROUP, INC.",0001057352,CSGP
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",0001035443,ARE
LENNAR CORP /NEW/,0000920760,LEN
"Match Group, Inc.",0000891103,MTCH
EQUIFAX INC,0000033185,EFX
MCCORMICK & CO INC,0000063754,MKC
TECK RESOURCES LTD,0000886986,TECK
AMEREN CORP,0001002910,AEE
ENTERGY CORP /DE/,0000065984,ETR
CDW Corp,0001402057,CDW
FIRSTENERGY CORP,0001031296,FE
KELLOGG CO,0000055067,K
Fortis Inc.,0001666175,FTS
PEMBINA PIPELINE CORP,0001546066,PBA
"Zscaler, Inc.",0001713683,ZS
WEST PHARMACEUTICAL SERVICES INC,0000105770,WST
Extra Space Storage Inc.,0001289490,EXR
"Ulta Beauty, Inc.",0001403568,ULTA
MICHELIN COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN /FI,0000896076,MGDDY
M&T BANK CORP,0000036270,MTB
STERIS plc,0001757898,STE
LABORATORY CORP OF AMERICA HOLDINGS,0000920148,LH
NORTHERN TRUST CORP,0000073124,NTRS
PPL Corp,0000922224,PPL
"Coupang, Inc.",0001834584,CPNG
DEUTSCHE BANK AKTIENGESELLSCHAFT,0001159508,DB
ANSYS INC,0001013462,ANSS
Fortive Corp,0001659166,FTV
TRACTOR SUPPLY CO /DE/,0000916365,TSCO
KONINKLIJKE PHILIPS NV,0000313216,PHG
Invitation Homes Inc.,0001687229,INVH
ZTO Express (Cayman) Inc.,0001677250,ZTO
Spotify Technology S.A.,0001639920,SPOT
UNITED MICROELECTRONICS CORP,0001033767,UMC
ORIX CORP,0001070304,IX
"UNITED RENTALS, INC.",0001067701,URI
Li Ning Co. Ltd.,0001447629,LNNGY
Aena S.A./ADR,0001700171,ANYYY
CHURCH & DWIGHT CO INC /DE/,0000313927,CHD
"Ventas, Inc.",0000740260,VTR
Vulcan Materials CO,0001396009,VMC
ALIGN TECHNOLOGY INC,0001097149,ALGN
GARTNER INC,0000749251,IT
TATA MOTORS LTD/FI,0000926042,TTM
"Live Nation Entertainment, Inc.",0001335258,LYV
MONOLITHIC POWER SYSTEMS INC,0001280452,MPWR
MOSAIC CO,0001285785,MOS
MARTIN MARIETTA MATERIALS INC,0000916076,MLM
Weg SA,0001445166,WEGZY
PANASONIC Corp,0000063271,PCRFY
REGIONS FINANCIAL CORP,0001281761,RF
Liberty Broadband Corp,0001611983,LBRDA
WATERS CORP /DE/,0001000697,WAT
Horizon Therapeutics Public Ltd Co,0001492426,HZNP
Ingersoll Rand Inc.,0001699150,IR
Amcor plc,0001748790,AMCR
GENMAB A/S,0001434265,GMAB
CINCINNATI FINANCIAL CORP,0000020286,CINF
CMS ENERGY CORP,0000811156,CMS
"Yum China Holdings, Inc.",0001673358,YUMC
CGI INC,0001061574,GIB
Atlantia SpA,0001437775,ATASY
PT Astra International Tbk / ADR,0001455967,PTAIY
FLEETCOR TECHNOLOGIES INC,0001175454,FLT
CNH Industrial N.V.,0001567094,CNHI
MAGNA INTERNATIONAL INC,0000749098,MGA
TENARIS SA,0001190723,TS
MID AMERICA APARTMENT COMMUNITIES INC.,0000912595,MAA
"MongoDB, Inc.",0001441816,MDB
Nu Holdings Ltd.,0001691493,NU
HUNTINGTON BANCSHARES INC /MD/,0000049196,HBAN
GARMIN LTD,0001121788,GRMN
RAYMOND JAMES FINANCIAL INC,0000720005,RJF
GENUINE PARTS CO,0000040987,GPC
"Avantor, Inc.",0001722482,AVTR
DUKE REALTY CORP,0000783280,DRE
VICI PROPERTIES INC.,0001705696,VICI
CENTERPOINT ENERGY INC,0001130310,CNP
VERISIGN INC/CA,0001014473,VRSN
"Expedia Group, Inc.",0001324424,EXPE
ENERGY CO OF PARANA,0001041792,ELP
V F CORP,0000103379,VFC
"STANLEY BLACK & DECKER, INC.",0000093556,SWK
"Cloudflare, Inc.",0001477333,NET
DOVER Corp,0000029905,DOV
Hewlett Packard Enterprise Co,0001645590,HPE
TWILIO INC,0001447669,TWLO
"CF Industries Holdings, Inc.",0001324404,CF
Brookfield Infrastructure Partners L.P.,0001406234,BIP
Synchrony Financial,0001601712,SYF
HENDERSON LAND DEVELOPMENT COMPANY LTD /FI,0000811250,HLDCY
HOLOGIC INC,0000859737,HOLX
Roblox Corp,0001315098,RBLX
PRINCIPAL FINANCIAL GROUP INC,0001126328,PFG
"Catalent, Inc.",0001596783,CTLT
RYANAIR HOLDINGS PLC,0001038683,RYAAY
MARKEL CORP,0001096343,MKL
Snam Rete Gas SpA,0001437771,SNMRY
PERKINELMER INC,0000031791,PKI
Wheaton Precious Metals Corp.,0001323404,WPM
Zhongsheng Group Holdings Limited/ADR/,0001495686,ZSHGY
ICON PLC,0001060955,ICLR
Fox Corp,0001754301,FOXA
TELEDYNE TECHNOLOGIES INC,0001094285,TDY
"EPAM Systems, Inc.",0001352010,EPAM
"Paycom Software, Inc.",0001590955,PAYC
Seagate Technology Holdings plc,0001137789,STX
SUN COMMUNITIES INC,0000912593,SUI
HEICO CORP,0000046619,HEI
"QUANTA SERVICES, INC.",0001050915,PWR
BEST BUY CO INC,0000764478,BBY
EQT Corp,0000033213,EQT
Palantir Technologies Inc.,0001321655,PLTR
INTERNATIONAL PAPER CO /NEW/,0000051434,IP
GENERAC HOLDINGS INC.,0001474735,GNRC
"Coinbase Global, Inc.",0001679788,COIN
ARCH CAPITAL GROUP LTD.,0000947484,ACGL
"ESSEX PROPERTY TRUST, INC.",0000920522,ESS
WESTERN DIGITAL CORP,0000106040,WDC
KEYCORP /NEW/,0000091576,KEY
"Avangrid, Inc.",0001634997,AGR
KB Financial Group Inc.,0001445930,KB
"DOCUSIGN, INC.",0001261333,DOCU
Royalty Pharma plc,0001802768,RPRX
Targa Resources Corp.,0001389170,TRGP
HUNT J B TRANSPORT SERVICES INC,0000728535,JBHT
ZEBRA TECHNOLOGIES CORP,0000877212,ZBRA
"SKYWORKS SOLUTIONS, INC.",0000004127,SWKS
SASOL LTD,0000314590,SSL
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,WAB
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,0000746515,EXPD
ARGENX SE,0001697862,ARGX
JACOBS ENGINEERING GROUP INC /DE/,0000052988,J
